Ref,Theta,Error,Esfuerzo
6.280000,6.150000,0.130000,0.060000
6.280000,6.150000,0.130000,0.060000
6.280000,6.150000,0.130000,0.060000
6.280000,6.150000,0.130000,0.060000
6.280000,6.150000,0.130000,0.060000
6.280000,6.150000,0.130000,0.060000
6.280000,6.150000,0.130000,0.060000
6.280000,6.150000,0.130000,0.060000
6.280000,6.150000,0.130000,0.060000
6.280000,6.150000,0.130000,0.060000
6.280000,6.150000,0.130000,0.060000
6.280000,0.000000,6.280000,3.140000
6.280000,0.040000,6.250000,3.120000
6.280000,0.180000,6.100000,3.050000
6.280000,0.420000,5.870000,2.930000
6.280000,0.730000,5.550000,2.780000
6.280000,1.110000,5.170000,2.590000
6.280000,1.540000,4.750000,2.370000
6.280000,2.000000,4.280000,2.140000
6.280000,2.490000,3.800000,1.900000
6.280000,2.980000,3.300000,1.650000
6.280000,3.480000,2.800000,1.400000
6.280000,3.980000,2.300000,1.150000
6.280000,4.480000,1.800000,0.900000
6.280000,4.970000,1.320000,0.660000
6.280000,5.440000,0.840000,0.420000
6.280000,5.890000,0.390000,0.190000
6.280000,6.330000,-0.050000,-0.020000
6.280000,6.730000,-0.450000,-0.220000
6.280000,7.080000,-0.800000,-0.400000
6.280000,7.390000,-1.100000,-0.550000
6.280000,7.640000,-1.350000,-0.680000
6.280000,7.840000,-1.560000,-0.780000
6.280000,7.990000,-1.710000,-0.850000
6.280000,8.090000,-1.810000,-0.900000
6.280000,8.150000,-1.870000,-0.930000
6.280000,8.170000,-1.880000,-0.940000
6.280000,8.150000,-1.870000,-0.930000
6.280000,8.110000,-1.820000,-0.910000
6.280000,8.040000,-1.750000,-0.880000
6.280000,7.950000,-1.660000,-0.830000
6.280000,7.840000,-1.550000,-0.780000
6.280000,7.710000,-1.430000,-0.710000
6.280000,7.580000,-1.290000,-0.650000
6.280000,7.440000,-1.160000,-0.580000
6.280000,7.300000,-1.010000,-0.510000
6.280000,7.150000,-0.870000,-0.430000
6.280000,7.000000,-0.720000,-0.360000
6.280000,6.860000,-0.570000,-0.290000
6.280000,6.720000,-0.430000,-0.220000
6.280000,6.580000,-0.290000,-0.150000
6.280000,6.450000,-0.160000,-0.080000
6.280000,6.320000,-0.040000,-0.020000
