Ref,Theta,Error,Esfuerzo
6.280000,6.120000,0.170000,0.080000
6.280000,6.030000,0.250000,0.120000
6.280000,5.960000,0.320000,0.160000
6.280000,5.900000,0.380000,0.190000
6.280000,5.850000,0.430000,0.220000
6.280000,5.810000,0.470000,0.240000
6.280000,5.780000,0.500000,0.250000
6.280000,5.760000,0.520000,0.260000
6.280000,5.760000,0.520000,0.260000
6.280000,5.760000,0.520000,0.260000
6.280000,5.770000,0.510000,0.260000
6.280000,5.790000,0.500000,0.250000
6.280000,5.800000,0.480000,0.240000
6.280000,5.830000,0.460000,0.230000
6.280000,5.850000,0.430000,0.210000
6.280000,5.880000,0.400000,0.200000
6.280000,5.920000,0.370000,0.180000
6.280000,5.950000,0.340000,0.170000
6.280000,5.980000,0.310000,0.150000
6.280000,6.000000,0.280000,0.140000
6.280000,6.030000,0.250000,0.130000
6.280000,6.050000,0.230000,0.120000
6.280000,6.070000,0.210000,0.110000
6.280000,6.090000,0.190000,0.100000
6.280000,6.110000,0.170000,0.090000
6.280000,6.120000,0.160000,0.080000
6.280000,6.130000,0.150000,0.080000
6.280000,6.140000,0.140000,0.070000
6.280000,6.150000,0.140000,0.070000
6.280000,6.150000,0.140000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
